"","time","status","condition","subject","velocity","normVelocity"
"326",26,"NS 3","VAN","subject 3",3.39341,1.22477787018911
"327",27,"NS 3","VAN","subject 3",5.64701,1.73289548408086
"328",28,"NS 3","VAN","subject 3",10.7836,2.37895336588519
"329",29,"NS 3","VAN","subject 3",13.7411,2.62111882091275
"330",30,"NS 3","VAN","subject 3",13.3206,2.59006214443045
"331",31,"S 4","VAN","subject 3",11.6566,2.45673005851926
"332",32,"S 4","VAN","subject 3",2.61187,0.963887803639434
"333",33,"S 4","VAN","subject 3",2.31773,0.84489354376162
"334",34,"S 4","VAN","subject 3",2.05787,0.726519092000997
"335",35,"S 4","VAN","subject 3",1.45249,0.38014046249366
"336",36,"NS 4","VAN","subject 3",1.24325,0.225740177161476
"337",37,"NS 4","VAN","subject 3",0.991955,0.00195309147453995
"338",38,"NS 4","VAN","subject 3",0.7763,-0.240416879984667
"339",39,"NS 4","VAN","subject 3",1.30325,0.272504980851934
"340",40,"NS 4","VAN","subject 3",0.9895,-0.000500125041682243
"341",41,"S 5","VAN","subject 3",0.776301,-0.240415608206256
"342",42,"S 5","VAN","subject 3",0.677054,-0.375342387228724
"343",43,"S 5","VAN","subject 3",3.53901,1.26666869135552
"344",44,"S 5","VAN","subject 3",2.59971,0.959239104050194
"345",45,"S 5","VAN","subject 3",2.66344,0.983366032663696
"346",46,"NS 5","VAN","subject 3",2.18287,0.785211188152887
"347",47,"NS 5","VAN","subject 3",1.81639,0.602341340966598
"348",48,"NS 5","VAN","subject 3",1.46665,0.389776008643524
"349",49,"NS 5","VAN","subject 3",0.705323,-0.335021090043903
"350",50,"NS 5","VAN","subject 3",1.4844,0.401724788492441
"351",51,"S 6","VAN","subject 3",1.08475,0.0905260266993708
"352",52,"S 6","VAN","subject 3",0.605916,-0.484644688383347
"353",53,"S 6","VAN","subject 3",0.23662,-1.39990658853975
"354",54,"S 6","VAN","subject 3",0.477622,-0.718214763442891
"355",55,"S 6","VAN","subject 3",0.221214,-1.46441159038399
"356",56,"NS 6","VAN","subject 3",0.17863,-1.6679678546245
"357",57,"NS 6","VAN","subject 3",0.156695,-1.79158948367642
"358",58,"NS 6","VAN","subject 3",0.156844,-1.79069603487486
"359",59,"NS 6","VAN","subject 3",0.146823,-1.85263749814936
"360",60,"NS 6","VAN","subject 3",1.59523,0.473267048495888
"361",61,"S 7","VAN","subject 3",4.86741,1.58461434126903
"362",62,"S 7","VAN","subject 3",3.9644,1.37987379331697
"363",63,"S 7","VAN","subject 3",1.60268,0.477897391364836
"364",64,"S 7","VAN","subject 3",0.403114,-0.884031695054425
"365",65,"S 7","VAN","subject 3",0.387356,-0.922922674672203
"366",66,"NS 7","VAN","subject 3",0.529895,-0.616380602775033
"367",67,"NS 7","VAN","subject 3",0.207648,-1.52487620009106
"368",68,"NS 7","VAN","subject 3",0.137501,-1.91392032356423
"369",69,"NS 7","VAN","subject 3",0.241004,-1.38228640372235
"370",70,"NS 7","VAN","subject 3",0.201228,-1.55481716017984
"371",71,"S 8","VAN","subject 3",1.49636,0.40969614463598
"372",72,"S 8","VAN","subject 3",3.5094,1.25829052053552
"373",73,"S 8","VAN","subject 3",3.37421,1.21912049655613
"374",74,"S 8","VAN","subject 3",2.69124,0.993710926842287
"375",75,"S 8","VAN","subject 3",10.3881,2.34162309714936
"376",76,"NS 8","VAN","subject 3",11.0187,2.40050096593855
"377",77,"NS 8","VAN","subject 3",9.30878,2.23203171884162
"378",78,"NS 8","VAN","subject 3",3.00863,1.10480308607584
"379",79,"NS 8","VAN","subject 3",4.85399,1.5818590887407
"380",80,"NS 8","VAN","subject 3",1.36625,0.319362409054753
"381",81,"S 9","VAN","subject 3",0.768557,-0.250313072661974
"382",82,"S 9","VAN","subject 3",2.87346,1.05899096194659
"383",83,"S 9","VAN","subject 3",3.4177,1.23188948232014
