"","time","status","condition","subject","acceleration"
"357",59,"NS","VAN","subject 3",1.448407
"358",60,"NS","VAN","subject 3",3.27218
"359",61,"S","VAN","subject 3",-0.90301
"360",62,"S","VAN","subject 3",-2.36172
"361",63,"S","VAN","subject 3",-1.199566
"362",64,"S","VAN","subject 3",-0.015758
"363",65,"S","VAN","subject 3",0.142539
"364",66,"NS","VAN","subject 3",-0.322247
"365",67,"NS","VAN","subject 3",-0.070147
"366",68,"NS","VAN","subject 3",0.103503
"367",69,"NS","VAN","subject 3",-0.039776
"368",70,"NS","VAN","subject 3",1.295132
"369",71,"S","VAN","subject 3",2.01304
"370",72,"S","VAN","subject 3",-0.13519
"371",73,"S","VAN","subject 3",-0.68297
"372",74,"S","VAN","subject 3",7.69686
"373",75,"S","VAN","subject 3",0.630600000000001
"374",76,"NS","VAN","subject 3",-1.70992
"375",77,"NS","VAN","subject 3",-6.30015
"376",78,"NS","VAN","subject 3",1.84536
"377",79,"NS","VAN","subject 3",-3.48774
"378",80,"NS","VAN","subject 3",-0.597693
"379",81,"S","VAN","subject 3",2.104903
"380",82,"S","VAN","subject 3",0.54424
"381",83,"S","VAN","subject 3",-1.30652
"382",84,"S","VAN","subject 3",0.0566
"383",85,"S","VAN","subject 3",-0.6221
"384",86,"NS","VAN","subject 3",-0.722331
"385",87,"NS","VAN","subject 3",1.964841
"386",88,"NS","VAN","subject 3",-0.89668
"387",89,"NS","VAN","subject 3",2.16926
"388",90,"NS","VAN","subject 3",0.80142
"389",91,"S","VAN","subject 3",-1.3794
"390",92,"S","VAN","subject 3",-1.67735
"391",93,"S","VAN","subject 3",-1.125076
"392",94,"S","VAN","subject 3",2.723416
"393",95,"S","VAN","subject 3",14.81452
"394",96,"NS","VAN","subject 3",8.3834
"395",97,"NS","VAN","subject 3",-9.973
"396",98,"NS","VAN","subject 3",-12.91063
"397",99,"NS","VAN","subject 3",4.1117
"398",100,"NS","VAN","subject 3",15.39713
"399",101,"S","VAN","subject 3",6.5367
"400",102,"S","VAN","subject 3",-11.8828
"401",103,"S","VAN","subject 3",-6.0078
"402",104,"S","VAN","subject 3",2.955
"403",105,"S","VAN","subject 3",16.8093
"404",106,"NS","VAN","subject 3",5.8686
"405",107,"NS","VAN","subject 3",-11.3618
"406",108,"NS","VAN","subject 3",-2.6674
"407",109,"NS","VAN","subject 3",5.7746
"408",110,"NS","VAN","subject 3",0.0204999999999984
"409",111,"S","VAN","subject 3",-6.0346
